deck,trial,arrow_direction,cue_color,cue_meaning,resolved_valence
EAT_4,1,right,yellow,unknown,negative
EAT_4,2,left,red,negative,negative
EAT_4,3,right,red,negative,negative
EAT_4,4,right,green,positive,positive
EAT_4,5,left,green,positive,positive
EAT_4,6,left,red,negative,negative
EAT_4,7,right,green,positive,positive
EAT_4,8,right,red,negative,negative
EAT_4,9,right,green,positive,positive
EAT_4,10,right,red,negative,negative
EAT_4,11,right,yellow,unknown,positive
EAT_4,12,left,yellow,unknown,positive
EAT_4,13,left,yellow,unknown,negative
EAT_4,14,left,red,negative,negative
EAT_4,15,right,green,positive,positive
EAT_4,16,left,green,positive,positive
EAT_4,17,right,red,negative,negative
EAT_4,18,left,red,negative,negative
EAT_4,19,left,red,negative,negative
EAT_4,20,left,yellow,unknown,negative
EAT_4,21,left,yellow,unknown,negative
EAT_4,22,right,green,positive,positive
EAT_4,23,right,yellow,unknown,positive
EAT_4,24,right,green,positive,positive
EAT_4,25,left,red,negative,negative
EAT_4,26,right,green,positive,positive
EAT_4,27,right,green,positive,positive
EAT_4,28,right,yellow,unknown,positive
EAT_4,29,right,green,positive,positive
EAT_4,30,right,yellow,unknown,negative
EAT_4,31,right,yellow,unknown,negative
EAT_4,32,right,green,positive,positive
EAT_4,33,right,red,negative,negative
EAT_4,34,right,yellow,unknown,negative
EAT_4,35,left,green,positive,positive
EAT_4,36,left,red,negative,negative
EAT_4,37,right,yellow,unknown,positive
EAT_4,38,right,red,negative,negative
EAT_4,39,right,green,positive,positive
EAT_4,40,right,red,negative,negative
EAT_4,41,right,yellow,unknown,positive
EAT_4,42,left,green,positive,positive
EAT_4,43,left,red,negative,negative
EAT_4,44,left,green,positive,positive
EAT_4,45,right,red,negative,negative
EAT_4,46,right,green,positive,positive
EAT_4,47,right,red,negative,negative
EAT_4,48,left,red,negative,negative
EAT_4,49,left,green,positive,positive
EAT_4,50,left,yellow,unknown,positive
EAT_4,51,left,green,positive,positive
EAT_4,52,left,yellow,unknown,negative
EAT_4,53,left,green,positive,positive
EAT_4,54,left,red,negative,negative
EAT_4,55,left,yellow,unknown,positive
EAT_4,56,left,yellow,unknown,positive
EAT_4,57,left,green,positive,positive
EAT_4,58,right,yellow,unknown,positive
EAT_4,59,right,green,positive,positive
EAT_4,60,right,yellow,unknown,negative
EAT_4,61,left,green,positive,positive
EAT_4,62,left,green,positive,positive
EAT_4,63,right,red,negative,negative
EAT_4,64,left,yellow,unknown,negative
EAT_4,65,left,yellow,unknown,negative
EAT_4,66,right,green,positive,positive
EAT_4,67,left,red,negative,negative
EAT_4,68,left,yellow,unknown,positive
EAT_4,69,left,red,negative,negative
EAT_4,70,left,yellow,unknown,negative
EAT_4,71,right,yellow,unknown,positive
EAT_4,72,left,red,negative,negative
EAT_4,73,right,yellow,unknown,positive
EAT_4,74,right,yellow,unknown,negative
EAT_4,75,right,green,positive,positive
EAT_4,76,left,yellow,unknown,negative
EAT_4,77,left,red,negative,negative
EAT_4,78,left,red,negative,negative
EAT_4,79,left,yellow,unknown,positive
EAT_4,80,right,red,negative,negative
EAT_4,81,left,green,positive,positive
EAT_4,82,left,green,positive,positive
EAT_4,83,right,red,negative,negative
EAT_4,84,right,green,positive,positive
EAT_4,85,left,green,positive,positive
EAT_4,86,right,yellow,unknown,positive
EAT_4,87,left,yellow,unknown,negative
EAT_4,88,right,red,negative,negative
EAT_4,89,left,red,negative,negative
EAT_4,90,right,red,negative,negative
