deck,trial,arrow_direction,cue_color,cue_meaning,resolved_valence,image_valence,image_category,image_path,fix_dur,arrow_dur,isi1_dur,cue_dur,anticip_dur,image_dur,iti_dur,event_code_arrow,event_code_cue,event_code_image
EAT_4,1,right,yellow,unknown,negative,negative,Negative_Circumstances,stimuli/pools/Negative (Organized)/Negative Circumstances/N130_Negative Circumstances.jpg,0.907,0.509,0.331,1.582,2.22,2.144,2.484,10,40,204
EAT_4,2,left,red,negative,negative,negative,Injury_Wounds_Blood,stimuli/pools/Negative (Organized)/Injury_Wounds_Blood (Gory)/N104_Injury_Wounds_Blood (Gory).jpg,0.709,0.572,0.422,1.896,3.923,2.304,3.669,10,30,203
EAT_4,3,right,red,negative,negative,negative,Negative_Circumstances,stimuli/pools/Negative (Organized)/Negative Circumstances/N116_Negative Circumstances.jpg,0.729,0.801,0.347,1.743,3.018,2.891,3.648,10,30,204
EAT_4,4,right,green,positive,positive,positive,Objects_Positive,"stimuli/pools/Positive (Organized)/Positive (Organized)/Objects_Positive (Gifts, Pleasant Scenes)/P102_Objects_Positive (Gifts, Pleasant Scenes).jpg",0.781,0.845,0.363,1.111,3.341,2.582,3.485,10,20,104
EAT_4,5,left,green,positive,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P82_Landscapes_Nature.jpg,0.583,0.953,0.245,1.328,3.569,2.989,2.133,10,20,103
EAT_4,6,left,red,negative,negative,negative,Dead_People,stimuli/pools/Negative (Organized)/Dead People/N54_Dead People.jpg,0.912,0.802,0.372,1.627,3.446,2.042,3.213,10,30,202
EAT_4,7,right,green,positive,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P64_Landscapes_Nature.jpg,0.747,0.993,0.232,1.706,2.279,2.613,2.834,10,20,103
EAT_4,8,right,red,negative,negative,negative,Injury_Wounds_Blood,stimuli/pools/Negative (Organized)/Injury_Wounds_Blood (Gory)/N79_Injury_Wounds_Blood (Gory).jpg,0.844,0.602,0.393,1.301,3.876,2.607,2.539,10,30,203
EAT_4,9,right,green,positive,positive,positive,People_Children,stimuli/pools/Positive (Organized)/Positive (Organized)/People_Children/P142_People_Children.jpg,0.718,0.654,0.385,1.774,2.876,2.01,3.695,10,20,105
EAT_4,10,right,red,negative,negative,negative,Dead_Animals,stimuli/pools/Negative (Organized)/Dead Animals/N10_Dead Animals.jpg,0.643,0.539,0.273,1.868,3.967,2.618,2.771,10,30,201
EAT_4,11,right,yellow,unknown,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P97_Landscapes_Nature.jpg,0.87,0.508,0.211,1.17,3.376,2.111,2.803,10,40,103
EAT_4,12,left,yellow,unknown,positive,positive,People_Children,stimuli/pools/Positive (Organized)/Positive (Organized)/People_Children/P118_People_Children.jpg,0.517,0.632,0.29,1.474,3.763,2.076,3.89,10,40,105
EAT_4,13,left,yellow,unknown,negative,negative,Negative_Circumstances,stimuli/pools/Negative (Organized)/Negative Circumstances/N140_Negative Circumstances.jpg,0.951,0.69,0.339,1.891,2.23,2.662,2.557,10,40,204
EAT_4,14,left,red,negative,negative,negative,Injury_Wounds_Blood,stimuli/pools/Negative (Organized)/Injury_Wounds_Blood (Gory)/N83_Injury_Wounds_Blood (Gory).jpg,0.591,0.792,0.227,1.555,2.385,2.881,2.656,10,30,203
EAT_4,15,right,green,positive,positive,positive,Landscapes_Nature,stimuli/pools/Positive (Organized)/Positive (Organized)/Landscapes_Nature/P95_Landscapes_Nature.jpg,0.55,0.654,0.415,1.482,3.662,2.48,3.44,10,20,103
EAT_4,16,left,green,positive,positive,positive,Cute_Animals,stimuli/pools/Positive (Organized)/Positive (Organized)/Cute Animals/P17_Cute Animals.jpg,0.998,0.622,0.375,1.566,2.489,2.825,2.85,10,20,101
EAT_4,17,right,red,negative,negative,negative,Dead_Animals,stimuli/pools/Negative (Organized)/Dead Animals/N35_Dead Animals.bmp,0.665,0.904,0.296,1.293,2.281,2.03,3.273,10,30,201
EAT_4,18,left,red,negative,negative,negative,Negative_Objects,stimuli/pools/Negative (Organized)/Negative Objects/N173_Negative Objects.jpg,0.683,0.766,0.328,1.611,2.976,2.135,3.803,10,30,205
