filename,relative_path,valence,category,subcategory
N10_Dead Animals.jpg,Negative (Organized)/Dead Animals/N10_Dead Animals.jpg,negative,Dead_Animals,
N11_Dead Animals.jpg,Negative (Organized)/Dead Animals/N11_Dead Animals.jpg,negative,Dead_Animals,
N12_Dead Animals.jpg,Negative (Organized)/Dead Animals/N12_Dead Animals.jpg,negative,Dead_Animals,
N13_Dead Animals.jpg,Negative (Organized)/Dead Animals/N13_Dead Animals.jpg,negative,Dead_Animals,
N14_Dead Animals.jpg,Negative (Organized)/Dead Animals/N14_Dead Animals.jpg,negative,Dead_Animals,
N15_Dead Animals.jpg,Negative (Organized)/Dead Animals/N15_Dead Animals.jpg,negative,Dead_Animals,
N16_Dead Animals.jpg,Negative (Organized)/Dead Animals/N16_Dead Animals.jpg,negative,Dead_Animals,
N17_Dead Animals.jpg,Negative (Organized)/Dead Animals/N17_Dead Animals.jpg,negative,Dead_Animals,
N18_Dead Animals.jpg,Negative (Organized)/Dead Animals/N18_Dead Animals.jpg,negative,Dead_Animals,
N19_Dead Animals.jpg,Negative (Organized)/Dead Animals/N19_Dead Animals.jpg,negative,Dead_Animals,
N1_Dead Animals.bmp,Negative (Organized)/Dead Animals/N1_Dead Animals.bmp,negative,Dead_Animals,
N20_Dead Animals.jpg,Negative (Organized)/Dead Animals/N20_Dead Animals.jpg,negative,Dead_Animals,
N21_Dead Animals.jpg,Negative (Organized)/Dead Animals/N21_Dead Animals.jpg,negative,Dead_Animals,
N22_Dead Animals.jpg,Negative (Organized)/Dead Animals/N22_Dead Animals.jpg,negative,Dead_Animals,
N23_Dead Animals.bmp,Negative (Organized)/Dead Animals/N23_Dead Animals.bmp,negative,Dead_Animals,
N24_Dead Animals.jpg,Negative (Organized)/Dead Animals/N24_Dead Animals.jpg,negative,Dead_Animals,
N25_Dead Animals.jpg,Negative (Organized)/Dead Animals/N25_Dead Animals.jpg,negative,Dead_Animals,
N26_Dead Animals.jpg,Negative (Organized)/Dead Animals/N26_Dead Animals.jpg,negative,Dead_Animals,
N27_Dead Animals.jpg,Negative (Organized)/Dead Animals/N27_Dead Animals.jpg,negative,Dead_Animals,
N28_Dead Animals.bmp,Negative (Organized)/Dead Animals/N28_Dead Animals.bmp,negative,Dead_Animals,
N29_Dead Animals.bmp,Negative (Organized)/Dead Animals/N29_Dead Animals.bmp,negative,Dead_Animals,
N2_Dead Animals.bmp,Negative (Organized)/Dead Animals/N2_Dead Animals.bmp,negative,Dead_Animals,
N30_Dead Animals.bmp,Negative (Organized)/Dead Animals/N30_Dead Animals.bmp,negative,Dead_Animals,
N31_Dead Animals.bmp,Negative (Organized)/Dead Animals/N31_Dead Animals.bmp,negative,Dead_Animals,
N32_Dead Animals.bmp,Negative (Organized)/Dead Animals/N32_Dead Animals.bmp,negative,Dead_Animals,
N33_Dead Animals.bmp,Negative (Organized)/Dead Animals/N33_Dead Animals.bmp,negative,Dead_Animals,
N34_Dead Animals.bmp,Negative (Organized)/Dead Animals/N34_Dead Animals.bmp,negative,Dead_Animals,
N35_Dead Animals.bmp,Negative (Organized)/Dead Animals/N35_Dead Animals.bmp,negative,Dead_Animals,
N36_Dead Animals.bmp,Negative (Organized)/Dead Animals/N36_Dead Animals.bmp,negative,Dead_Animals,
N37_Dead Animals.jpg,Negative (Organized)/Dead Animals/N37_Dead Animals.jpg,negative,Dead_Animals,
N3_Dead Animals.jpg,Negative (Organized)/Dead Animals/N3_Dead Animals.jpg,negative,Dead_Animals,
N4_Dead Animals.jpg,Negative (Organized)/Dead Animals/N4_Dead Animals.jpg,negative,Dead_Animals,
N5_Dead Animals.jpg,Negative (Organized)/Dead Animals/N5_Dead Animals.jpg,negative,Dead_Animals,
N6_Dead Animals.jpg,Negative (Organized)/Dead Animals/N6_Dead Animals.jpg,negative,Dead_Animals,
N7_Dead Animals.jpg,Negative (Organized)/Dead Animals/N7_Dead Animals.jpg,negative,Dead_Animals,
N8_Dead Animals.jpg,Negative (Organized)/Dead Animals/N8_Dead Animals.jpg,negative,Dead_Animals,
N9_Dead Animals.jpg,Negative (Organized)/Dead Animals/N9_Dead Animals.jpg,negative,Dead_Animals,
N38_Dead People.jpg,Negative (Organized)/Dead People/N38_Dead People.jpg,negative,Dead_People,
N39_Dead People.jpg,Negative (Organized)/Dead People/N39_Dead People.jpg,negative,Dead_People,
N40_Dead People.bmp,Negative (Organized)/Dead People/N40_Dead People.bmp,negative,Dead_People,
N41_Dead People.bmp,Negative (Organized)/Dead People/N41_Dead People.bmp,negative,Dead_People,
N42_Dead People.jpg,Negative (Organized)/Dead People/N42_Dead People.jpg,negative,Dead_People,
N43_Dead People.jpg,Negative (Organized)/Dead People/N43_Dead People.jpg,negative,Dead_People,
N44_Dead People.jpg,Negative (Organized)/Dead People/N44_Dead People.jpg,negative,Dead_People,
N45_Dead People.jpg,Negative (Organized)/Dead People/N45_Dead People.jpg,negative,Dead_People,
N46_Dead People.jpg,Negative (Organized)/Dead People/N46_Dead People.jpg,negative,Dead_People,
N47_Dead People.jpg,Negative (Organized)/Dead People/N47_Dead People.jpg,negative,Dead_People,
N48_Dead People.jpg,Negative (Organized)/Dead People/N48_Dead People.jpg,negative,Dead_People,
N49_Dead People.jpg,Negative (Organized)/Dead People/N49_Dead People.jpg,negative,Dead_People,
N50_Dead People.jpg,Negative (Organized)/Dead People/N50_Dead People.jpg,negative,Dead_People,
N51_Dead People.jpg,Negative (Organized)/Dead People/N51_Dead People.jpg,negative,Dead_People,
N52_Dead People.jpg,Negative (Organized)/Dead People/N52_Dead People.jpg,negative,Dead_People,
N53_Dead People.jpg,Negative (Organized)/Dead People/N53_Dead People.jpg,negative,Dead_People,
N54_Dead People.jpg,Negative (Organized)/Dead People/N54_Dead People.jpg,negative,Dead_People,
N55_Dead People.jpg,Negative (Organized)/Dead People/N55_Dead People.jpg,negative,Dead_People,
N56_Dead People.jpg,Negative (Organized)/Dead People/N56_Dead People.jpg,negative,Dead_People,
N57_Dead People.jpg,Negative (Organized)/Dead People/N57_Dead People.jpg,negative,Dead_People,
N58_Dead People.jpg,Negative (Organized)/Dead People/N58_Dead People.jpg,negative,Dead_People,
N59_Dead People.jpg,Negative (Organized)/Dead People/N59_Dead People.jpg,negative,Dead_People,
N60_Dead People.jpg,Negative (Organized)/Dead People/N60_Dead People.jpg,negative,Dead_People,
N61_Dead People.jpg,Negative (Organized)/Dead People/N61_Dead People.jpg,negative,Dead_People,
N62_Dead People.jpg,Negative (Organized)/Dead People/N62_Dead People.jpg,negative,Dead_People,
N63_Dead People.jpg,Negative (Organized)/Dead People/N63_Dead People.jpg,negative,Dead_People,
N100_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N100_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N101_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N101_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N102_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N102_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N103_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N103_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N104_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N104_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N105_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N105_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N106_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N106_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N64_Injury_Wounds_Blood (Gory).bmp,Negative (Organized)/Injury_Wounds_Blood (Gory)/N64_Injury_Wounds_Blood (Gory).bmp,negative,Injury_Wounds_Blood,
N65_Injury_Wounds_Blood (Gory).bmp,Negative (Organized)/Injury_Wounds_Blood (Gory)/N65_Injury_Wounds_Blood (Gory).bmp,negative,Injury_Wounds_Blood,
N66_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N66_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N67_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N67_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N68_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N68_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N69_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N69_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N70_Injury_Wounds_Blood (Gory).bmp,Negative (Organized)/Injury_Wounds_Blood (Gory)/N70_Injury_Wounds_Blood (Gory).bmp,negative,Injury_Wounds_Blood,
N71_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N71_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N72_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N72_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N73_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N73_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N74_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N74_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N75_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N75_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N76_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N76_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N77_Injury_Wounds_Blood (Gory).bmp,Negative (Organized)/Injury_Wounds_Blood (Gory)/N77_Injury_Wounds_Blood (Gory).bmp,negative,Injury_Wounds_Blood,
N78_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N78_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N79_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N79_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N80_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N80_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N81_Injury_Wounds_Blood (Gory).bmp,Negative (Organized)/Injury_Wounds_Blood (Gory)/N81_Injury_Wounds_Blood (Gory).bmp,negative,Injury_Wounds_Blood,
N82_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N82_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N83_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N83_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N84_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N84_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
N85_Injury_Wounds_Blood (Gory).jpg,Negative (Organized)/Injury_Wounds_Blood (Gory)/N85_Injury_Wounds_Blood (Gory).jpg,negative,Injury_Wounds_Blood,
